1,"FAWN",110,"FL","SANTA ROSA","JAY",30.775,-87.14,78
3,"FAWN",130,"FL","JACKSON","MARIANNA",30.85,-85.165,51
5,"FAWN",140,"FL","GADSEN","QUINCY",30.545,-84.597,63
7,"FAWN",150,"FL","FRANKLIN","CARRABELLE",29.843,-84.695,8
9,"FAWN",160,"FL","JEFFERSON","MONTICELLO",30.538,-83.917,71
11,"FAWN",170,"FL","SUWANEE","LIVE OAK",30.303,-82.9,32
13,"FAWN",180,"FL","BAKER","MACCLENNY",30.282,-82.138,40
15,"FAWN",230,"FL","LEVY","BRONSON",29.402,-82.587,18
17,"FAWN",240,"FL","PUTNAM","PUTNAM HALL",29.697,-81.983,30
19,"FAWN",250,"FL","MARION","CITRA",29.41,-82.17,26
21,"FAWN",260,"FL","ALACHUA","ALACHUA",29.803,-82.41,42
23,"FAWN",270,"FL","ST JOHNS","HASTINGS",29.693,-81.445,2
25,"FAWN",280,"FL","MARION","OCKLAWAHA",29.02,-81.968,2
27,"FAWN",290,"FL","VOLUSIA","PIERSON",29.223,-81.448,23
29,"FAWN",302,"FL","LAKE","UMATILLA",28.92,-81.632,30
31,"FAWN",303,"FL","LAKE","OKAHUMPKA",28.682,-81.887,26
33,"FAWN",304,"FL","ORANGE","AVALON",28.477,-81.64,28
35,"FAWN",310,"FL","HERNANDO","BROOKSVILLE",28.635,-82.285,62
37,"FAWN",320,"FL","ORANGE","APOPKA",28.642,-81.55,40
39,"FAWN",330,"FL","POLK","LAKE ALFRED",28.102,-81.712,53
41,"FAWN",340,"FL","OSCEOLA","KENANSVILLE",27.963,-81.05,21
43,"FAWN",350,"FL","HILLSBOROUGH","BALM",27.76,-82.223,35
45,"FAWN",360,"FL","HILLSBOROUGH","DOVER",28.017,-82.233,31
47,"FAWN",380,"FL","HARDEE","ONA",27.398,-81.94,27
49,"FAWN",390,"FL","Polk","FROSTPROOF",27.76,-81.54,34
51,"FAWN",405,"FL","HENDRY","CLEWISTON",26.739,-81.053,5
